step	semantic_branch_name	runtime_name	env_name	should_we_do_it
CREATE_VIRTUALENV	main	local	devops	
CREATE_VIRTUALENV	main	local	sbx	
CREATE_VIRTUALENV	main	local	tst	
CREATE_VIRTUALENV	main	local	stg	
CREATE_VIRTUALENV	main	local	prd	
CREATE_VIRTUALENV	main	ci	devops	
CREATE_VIRTUALENV	main	ci	sbx	
CREATE_VIRTUALENV	main	ci	tst	
CREATE_VIRTUALENV	main	ci	stg	
CREATE_VIRTUALENV	main	ci	prd	
CREATE_VIRTUALENV	feature	local	devops	
CREATE_VIRTUALENV	feature	local	sbx	
CREATE_VIRTUALENV	feature	local	tst	
CREATE_VIRTUALENV	feature	local	stg	
CREATE_VIRTUALENV	feature	local	prd	
CREATE_VIRTUALENV	feature	ci	devops	
CREATE_VIRTUALENV	feature	ci	sbx	
CREATE_VIRTUALENV	feature	ci	tst	
CREATE_VIRTUALENV	feature	ci	stg	
CREATE_VIRTUALENV	feature	ci	prd	
CREATE_VIRTUALENV	fix	local	devops	
CREATE_VIRTUALENV	fix	local	sbx	
CREATE_VIRTUALENV	fix	local	tst	
CREATE_VIRTUALENV	fix	local	stg	
CREATE_VIRTUALENV	fix	local	prd	
CREATE_VIRTUALENV	fix	ci	devops	
CREATE_VIRTUALENV	fix	ci	sbx	
CREATE_VIRTUALENV	fix	ci	tst	
CREATE_VIRTUALENV	fix	ci	stg	
CREATE_VIRTUALENV	fix	ci	prd	
CREATE_VIRTUALENV	doc	local	devops	
CREATE_VIRTUALENV	doc	local	sbx	
CREATE_VIRTUALENV	doc	local	tst	
CREATE_VIRTUALENV	doc	local	stg	
CREATE_VIRTUALENV	doc	local	prd	
CREATE_VIRTUALENV	doc	ci	devops	
CREATE_VIRTUALENV	doc	ci	sbx	
CREATE_VIRTUALENV	doc	ci	tst	
CREATE_VIRTUALENV	doc	ci	stg	
CREATE_VIRTUALENV	doc	ci	prd	
CREATE_VIRTUALENV	app	local	devops	
CREATE_VIRTUALENV	app	local	sbx	
CREATE_VIRTUALENV	app	local	tst	
CREATE_VIRTUALENV	app	local	stg	
CREATE_VIRTUALENV	app	local	prd	
CREATE_VIRTUALENV	app	ci	devops	
CREATE_VIRTUALENV	app	ci	sbx	
CREATE_VIRTUALENV	app	ci	tst	
CREATE_VIRTUALENV	app	ci	stg	
CREATE_VIRTUALENV	app	ci	prd	
CREATE_VIRTUALENV	release	local	devops	
CREATE_VIRTUALENV	release	local	sbx	
CREATE_VIRTUALENV	release	local	tst	
CREATE_VIRTUALENV	release	local	stg	
CREATE_VIRTUALENV	release	local	prd	
CREATE_VIRTUALENV	release	ci	devops	
CREATE_VIRTUALENV	release	ci	sbx	
CREATE_VIRTUALENV	release	ci	tst	
CREATE_VIRTUALENV	release	ci	stg	
CREATE_VIRTUALENV	release	ci	prd	
CREATE_VIRTUALENV	cleanup	local	devops	
CREATE_VIRTUALENV	cleanup	local	sbx	
CREATE_VIRTUALENV	cleanup	local	tst	
CREATE_VIRTUALENV	cleanup	local	stg	
CREATE_VIRTUALENV	cleanup	local	prd	
CREATE_VIRTUALENV	cleanup	ci	devops	
CREATE_VIRTUALENV	cleanup	ci	sbx	
CREATE_VIRTUALENV	cleanup	ci	tst	
CREATE_VIRTUALENV	cleanup	ci	stg	
CREATE_VIRTUALENV	cleanup	ci	prd	
INSTALL_DEPENDENCIES	main	local	devops	
INSTALL_DEPENDENCIES	main	local	sbx	
INSTALL_DEPENDENCIES	main	local	tst	
INSTALL_DEPENDENCIES	main	local	stg	
INSTALL_DEPENDENCIES	main	local	prd	
INSTALL_DEPENDENCIES	main	ci	devops	
INSTALL_DEPENDENCIES	main	ci	sbx	
INSTALL_DEPENDENCIES	main	ci	tst	
INSTALL_DEPENDENCIES	main	ci	stg	
INSTALL_DEPENDENCIES	main	ci	prd	
INSTALL_DEPENDENCIES	feature	local	devops	
INSTALL_DEPENDENCIES	feature	local	sbx	
INSTALL_DEPENDENCIES	feature	local	tst	
INSTALL_DEPENDENCIES	feature	local	stg	
INSTALL_DEPENDENCIES	feature	local	prd	
INSTALL_DEPENDENCIES	feature	ci	devops	
INSTALL_DEPENDENCIES	feature	ci	sbx	
INSTALL_DEPENDENCIES	feature	ci	tst	
INSTALL_DEPENDENCIES	feature	ci	stg	
INSTALL_DEPENDENCIES	feature	ci	prd	
INSTALL_DEPENDENCIES	fix	local	devops	
INSTALL_DEPENDENCIES	fix	local	sbx	
INSTALL_DEPENDENCIES	fix	local	tst	
INSTALL_DEPENDENCIES	fix	local	stg	
INSTALL_DEPENDENCIES	fix	local	prd	
INSTALL_DEPENDENCIES	fix	ci	devops	
INSTALL_DEPENDENCIES	fix	ci	sbx	
INSTALL_DEPENDENCIES	fix	ci	tst	
INSTALL_DEPENDENCIES	fix	ci	stg	
INSTALL_DEPENDENCIES	fix	ci	prd	
INSTALL_DEPENDENCIES	doc	local	devops	
INSTALL_DEPENDENCIES	doc	local	sbx	
INSTALL_DEPENDENCIES	doc	local	tst	
INSTALL_DEPENDENCIES	doc	local	stg	
INSTALL_DEPENDENCIES	doc	local	prd	
INSTALL_DEPENDENCIES	doc	ci	devops	
INSTALL_DEPENDENCIES	doc	ci	sbx	
INSTALL_DEPENDENCIES	doc	ci	tst	
INSTALL_DEPENDENCIES	doc	ci	stg	
INSTALL_DEPENDENCIES	doc	ci	prd	
INSTALL_DEPENDENCIES	app	local	devops	
INSTALL_DEPENDENCIES	app	local	sbx	
INSTALL_DEPENDENCIES	app	local	tst	
INSTALL_DEPENDENCIES	app	local	stg	
INSTALL_DEPENDENCIES	app	local	prd	
INSTALL_DEPENDENCIES	app	ci	devops	
INSTALL_DEPENDENCIES	app	ci	sbx	
INSTALL_DEPENDENCIES	app	ci	tst	
INSTALL_DEPENDENCIES	app	ci	stg	
INSTALL_DEPENDENCIES	app	ci	prd	
INSTALL_DEPENDENCIES	release	local	devops	
INSTALL_DEPENDENCIES	release	local	sbx	
INSTALL_DEPENDENCIES	release	local	tst	
INSTALL_DEPENDENCIES	release	local	stg	
INSTALL_DEPENDENCIES	release	local	prd	
INSTALL_DEPENDENCIES	release	ci	devops	
INSTALL_DEPENDENCIES	release	ci	sbx	
INSTALL_DEPENDENCIES	release	ci	tst	
INSTALL_DEPENDENCIES	release	ci	stg	
INSTALL_DEPENDENCIES	release	ci	prd	
INSTALL_DEPENDENCIES	cleanup	local	devops	
INSTALL_DEPENDENCIES	cleanup	local	sbx	
INSTALL_DEPENDENCIES	cleanup	local	tst	
INSTALL_DEPENDENCIES	cleanup	local	stg	
INSTALL_DEPENDENCIES	cleanup	local	prd	
INSTALL_DEPENDENCIES	cleanup	ci	devops	
INSTALL_DEPENDENCIES	cleanup	ci	sbx	
INSTALL_DEPENDENCIES	cleanup	ci	tst	
INSTALL_DEPENDENCIES	cleanup	ci	stg	
INSTALL_DEPENDENCIES	cleanup	ci	prd	
DEPLOY_CONFIG	main	local	devops	
DEPLOY_CONFIG	main	local	sbx	
DEPLOY_CONFIG	main	local	tst	
DEPLOY_CONFIG	main	local	stg	
DEPLOY_CONFIG	main	local	prd	
DEPLOY_CONFIG	main	ci	devops	
DEPLOY_CONFIG	main	ci	sbx	
DEPLOY_CONFIG	main	ci	tst	
DEPLOY_CONFIG	main	ci	stg	
DEPLOY_CONFIG	main	ci	prd	
DEPLOY_CONFIG	feature	local	devops	
DEPLOY_CONFIG	feature	local	sbx	
DEPLOY_CONFIG	feature	local	tst	
DEPLOY_CONFIG	feature	local	stg	
DEPLOY_CONFIG	feature	local	prd	
DEPLOY_CONFIG	feature	ci	devops	
DEPLOY_CONFIG	feature	ci	sbx	
DEPLOY_CONFIG	feature	ci	tst	
DEPLOY_CONFIG	feature	ci	stg	
DEPLOY_CONFIG	feature	ci	prd	
DEPLOY_CONFIG	fix	local	devops	
DEPLOY_CONFIG	fix	local	sbx	
DEPLOY_CONFIG	fix	local	tst	
DEPLOY_CONFIG	fix	local	stg	
DEPLOY_CONFIG	fix	local	prd	
DEPLOY_CONFIG	fix	ci	devops	
DEPLOY_CONFIG	fix	ci	sbx	
DEPLOY_CONFIG	fix	ci	tst	
DEPLOY_CONFIG	fix	ci	stg	
DEPLOY_CONFIG	fix	ci	prd	
DEPLOY_CONFIG	doc	local	devops	
DEPLOY_CONFIG	doc	local	sbx	
DEPLOY_CONFIG	doc	local	tst	
DEPLOY_CONFIG	doc	local	stg	
DEPLOY_CONFIG	doc	local	prd	
DEPLOY_CONFIG	doc	ci	devops	
DEPLOY_CONFIG	doc	ci	sbx	
DEPLOY_CONFIG	doc	ci	tst	
DEPLOY_CONFIG	doc	ci	stg	
DEPLOY_CONFIG	doc	ci	prd	
DEPLOY_CONFIG	app	local	devops	
DEPLOY_CONFIG	app	local	sbx	
DEPLOY_CONFIG	app	local	tst	
DEPLOY_CONFIG	app	local	stg	
DEPLOY_CONFIG	app	local	prd	
DEPLOY_CONFIG	app	ci	devops	
DEPLOY_CONFIG	app	ci	sbx	
DEPLOY_CONFIG	app	ci	tst	
DEPLOY_CONFIG	app	ci	stg	
DEPLOY_CONFIG	app	ci	prd	
DEPLOY_CONFIG	release	local	devops	
DEPLOY_CONFIG	release	local	sbx	
DEPLOY_CONFIG	release	local	tst	
DEPLOY_CONFIG	release	local	stg	
DEPLOY_CONFIG	release	local	prd	
DEPLOY_CONFIG	release	ci	devops	
DEPLOY_CONFIG	release	ci	sbx	
DEPLOY_CONFIG	release	ci	tst	
DEPLOY_CONFIG	release	ci	stg	
DEPLOY_CONFIG	release	ci	prd	
DEPLOY_CONFIG	cleanup	local	devops	
DEPLOY_CONFIG	cleanup	local	sbx	
DEPLOY_CONFIG	cleanup	local	tst	
DEPLOY_CONFIG	cleanup	local	stg	
DEPLOY_CONFIG	cleanup	local	prd	
DEPLOY_CONFIG	cleanup	ci	devops	
DEPLOY_CONFIG	cleanup	ci	sbx	
DEPLOY_CONFIG	cleanup	ci	tst	
DEPLOY_CONFIG	cleanup	ci	stg	
DEPLOY_CONFIG	cleanup	ci	prd	
RUN_CODE_COVERAGE_TEST	main	local	devops	
RUN_CODE_COVERAGE_TEST	main	local	sbx	
RUN_CODE_COVERAGE_TEST	main	local	tst	
RUN_CODE_COVERAGE_TEST	main	local	stg	
RUN_CODE_COVERAGE_TEST	main	local	prd	
