Action👇 runtime 👉	local	ci
🐍 Create Virtualenv	✅	✅
💾 Install Dependencies	✅	✅
🚀 ⚙️ Deploy Config	✅	❌
🏗️ Build Lambda source locally	✅	✅
🧪 Run Code Coverage Test	✅	✅
📔 Publish Documentation Website	✅	✅
🏗️ Publish Lambda layer	✅	✅
🚀 Deploy Lambda App via CDK	✅	✅
🧪 Run Integration Test	✅	✅
🚀 Publish New Lambda Version	✅	✅
⚙️ 🪣 Create Config Snapshot	✅	✅
🏷️ Create Git Tag	✅	✅
🗑 📦 Delete Lambda App in sbx	✅	✅
🗑 🧪 Delete Lambda App in tst	✅	✅
🗑 🎸 Delete Lambda App in stg	✅	✅
🗑 🏭 Delete Lambda App in prd	✅	✅
🗑 ⚙️ Delete Config	✅	❌
